age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,GFCF CF,GFCF Gower
19.0,2.0,268524.0,15.0,10.0,4.0,11.0,3.0,0.0,1.0,0.0,0.0,15.0,38.0,"['capital-gain: 11509.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.049
36.0,1.0,192337.0,11.0,9.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 11509.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.049
42.0,2.0,155106.0,15.0,10.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,45.0,38.0,"['capital-gain: 11509.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.049
17.0,2.0,153542.0,0.0,6.0,4.0,11.0,3.0,0.0,1.0,0.0,0.0,20.0,38.0,,inf
25.0,2.0,210148.0,11.0,9.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 11509.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.049
45.0,2.0,172822.0,11.0,9.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,52.0,38.0,"['capital-gain: 11509.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.049
38.0,2.0,289448.0,12.0,14.0,4.0,9.0,4.0,1.0,1.0,0.0,0.0,40.0,2.0,"['capital-gain: 11509.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.049
20.0,2.0,236592.0,2.0,8.0,4.0,9.0,1.0,0.0,1.0,0.0,0.0,35.0,21.0,"['capital-gain: 11509.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.049
33.0,2.0,159322.0,11.0,9.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 11509.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.049
48.0,2.0,151584.0,11.0,9.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,46.0,38.0,"['capital-gain: 11509.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.049
22.0,2.0,254293.0,2.0,8.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 11509.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.049
