age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
29,2,78261,11,9,2,6,0,0,0,0,0,40,38
22,2,136873,15,10,4,2,1,0,0,0,0,40,38
38,2,100295,5,4,2,6,5,0,1,0,0,50,1
31,2,121321,1,7,2,11,0,0,0,0,0,51,38
46,4,115971,6,5,2,11,0,0,0,0,0,40,38
42,2,112451,11,9,4,7,1,1,0,0,0,40,38
25,2,135568,11,9,2,5,0,0,0,0,0,40,38
38,2,99138,9,13,4,3,1,0,1,0,0,38,38
52,4,77336,8,11,2,2,0,0,0,0,0,40,38
42,2,138872,11,9,2,13,0,0,0,0,0,99,38
37,2,123833,15,10,4,11,1,0,0,0,0,60,38
35,2,135289,8,11,0,2,1,0,0,0,0,50,38
39,2,101782,11,9,0,11,1,0,1,0,0,40,38
21,5,82847,15,10,4,3,1,0,1,0,0,38,38
43,2,147510,9,13,0,9,4,0,0,0,0,40,38
32,2,41210,11,9,2,2,0,0,0,0,0,40,38
37,0,40955,15,10,4,7,3,0,0,0,0,40,23
68,2,107910,11,9,4,11,1,0,1,0,0,40,38
22,2,100587,15,10,4,7,3,1,1,0,0,15,38
32,2,130057,11,9,2,11,0,0,0,0,0,55,38
40,2,124520,8,11,0,2,4,0,0,0,0,50,38
39,0,135500,11,9,2,0,0,0,0,0,0,40,38
18,2,126913,15,10,4,7,3,0,1,0,0,12,38
26,2,76996,15,10,4,6,1,1,1,0,0,38,38
29,2,148550,11,9,2,2,0,0,0,0,0,40,38
43,2,84673,12,14,0,3,1,0,1,0,0,38,38
26,2,115717,15,10,2,0,0,0,0,0,2051,40,38
63,2,84737,5,4,2,7,0,1,0,0,0,40,34
28,2,66473,11,9,2,6,0,0,0,0,0,40,38
27,5,41115,15,10,2,2,0,1,0,0,0,40,38
39,2,118429,15,10,0,11,1,0,0,0,0,40,38
26,2,109419,8,11,4,0,1,0,1,0,0,45,38
47,2,98524,4,3,2,6,0,0,0,0,0,40,38
57,3,51016,11,9,2,3,0,0,0,0,0,60,38
30,2,128016,9,13,4,3,1,0,1,0,0,55,38
19,2,87402,15,10,4,2,1,0,0,0,0,40,38
58,4,81642,11,9,2,4,0,0,0,0,0,60,38
40,2,38389,8,11,2,2,0,0,0,0,0,40,38
30,2,95639,1,7,4,5,2,1,0,0,0,40,38
71,2,137499,11,9,6,11,2,0,1,0,0,16,38
32,2,30433,9,13,4,12,2,0,1,0,0,72,38
39,1,45607,11,9,2,10,0,0,0,0,0,56,38
68,4,35468,12,14,2,9,0,0,0,0,0,24,38
72,2,56559,11,9,2,11,0,0,0,0,0,12,38
23,2,111450,2,8,4,7,4,1,0,0,0,38,38
39,2,30875,9,13,0,11,4,0,1,0,0,40,38
28,2,145284,15,10,4,0,1,0,0,0,0,40,38
27,2,106935,15,10,5,11,1,0,0,0,0,40,38
49,2,24712,9,13,4,7,1,1,1,0,0,35,29
28,3,109001,9,13,4,3,3,0,0,0,0,60,38
39,2,135162,2,8,2,2,0,0,0,0,0,45,38
18,2,110230,1,7,4,5,3,0,0,0,0,5,38
36,1,126569,15,10,2,10,0,0,0,0,0,40,38
27,2,37754,15,10,2,4,0,0,0,0,0,80,38
43,2,55764,15,10,4,5,4,1,0,0,0,40,38
23,2,38707,15,10,2,13,0,0,0,0,0,60,38
64,4,46366,15,10,6,3,1,0,1,0,0,60,38
53,2,108836,6,5,2,13,0,0,0,0,0,40,38
52,2,30908,11,9,2,4,0,0,0,0,0,60,38
71,2,29770,15,10,6,7,1,0,1,0,0,28,38
