age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
19,2,268524,15,10,4,11,3,0,1,0,0,15,38
36,1,192337,11,9,4,7,1,0,0,0,0,40,38
42,2,155106,15,10,4,6,1,0,0,0,0,45,38
17,2,153542,0,6,4,11,3,0,1,0,0,20,38
25,2,210148,11,9,4,2,3,0,0,0,0,40,38
45,2,172822,11,9,2,6,0,0,0,0,0,52,38
38,2,289448,12,14,4,9,4,1,1,0,0,40,2
20,2,236592,2,8,4,9,1,0,1,0,0,35,21
33,2,159322,11,9,0,7,4,0,0,0,0,40,38
48,2,151584,11,9,0,13,1,0,0,0,0,46,38
22,2,254293,2,8,4,5,1,0,0,0,0,40,38
35,2,283122,15,10,2,12,0,0,0,0,0,45,38
56,1,157525,15,10,0,10,1,1,0,0,0,48,38
55,2,173422,15,10,2,6,0,0,0,0,0,40,38
33,2,283268,9,13,0,3,4,0,1,0,0,40,38
28,2,278736,2,8,4,5,4,0,0,0,0,40,25
49,5,247043,15,10,2,10,0,0,0,0,0,40,38
37,2,186191,11,9,2,6,0,0,0,0,0,46,38
18,2,170627,1,7,4,7,3,0,1,0,0,15,38
35,2,276153,9,13,4,12,1,1,1,4650,0,40,38
35,1,203883,15,10,0,12,4,0,1,0,0,40,38
30,5,190385,15,10,4,0,1,0,1,0,0,37,38
49,5,207120,11,9,2,5,0,0,0,0,0,40,38
24,2,200295,15,10,4,2,1,0,0,0,0,40,38
61,2,180632,11,9,2,11,0,0,0,0,0,40,38
25,2,201481,9,13,4,3,1,0,1,0,0,40,38
39,2,207824,11,9,4,5,3,0,0,0,0,60,38
47,2,192713,11,9,2,11,0,0,0,0,0,50,38
38,2,166062,11,9,0,0,1,0,1,0,0,50,38
47,2,186539,15,10,2,7,0,0,0,0,0,10,38
53,2,290640,11,9,2,7,0,0,0,0,0,50,10
25,2,164488,15,10,4,5,3,0,0,0,0,40,38
25,2,252187,1,7,4,5,1,0,0,0,0,40,38
46,2,206707,15,10,0,6,1,0,1,0,0,40,38
41,2,190205,11,9,2,2,0,0,0,0,0,45,38
