age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,DiCE CF,DiCE Gower
19.0,2.0,268524.0,15.0,10.0,4.0,11.0,3.0,0.0,1.0,0.0,0.0,15.0,38.0,['capital-gain: 28214.000'],0.282
36.0,1.0,192337.0,11.0,9.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 23003.000', 'hours-per-week: -23.000']",0.232
42.0,2.0,155106.0,15.0,10.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,45.0,38.0,['capital-gain: 8969.000'],0.09
17.0,2.0,153542.0,0.0,6.0,4.0,11.0,3.0,0.0,1.0,0.0,0.0,20.0,38.0,"['educational-num: 13.0', 'capital-gain: 48631.000']",0.476
25.0,2.0,210148.0,11.0,9.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 38603.000', 'hours-per-week: -5.000']",0.219
45.0,2.0,172822.0,11.0,9.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,52.0,38.0,"['educational-num: 16.0', 'hours-per-week: 6.000']",0.264
38.0,2.0,289448.0,12.0,14.0,4.0,9.0,4.0,1.0,1.0,0.0,0.0,40.0,2.0,"['educational-num: 9.0', 'capital-gain: 16904.000']",0.251
20.0,2.0,236592.0,2.0,8.0,4.0,9.0,1.0,0.0,1.0,0.0,0.0,35.0,21.0,['capital-gain: 61755.000'],0.618
33.0,2.0,159322.0,11.0,9.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,40.0,38.0,['capital-gain: 22397.000'],0.224
48.0,2.0,151584.0,11.0,9.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,46.0,38.0,"['educational-num: 6.0', 'capital-gain: 19786.000']",0.199
22.0,2.0,254293.0,2.0,8.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,40.0,38.0,"['educational-num: 12.0', 'capital-gain: 25181.000']",0.259
35.0,2.0,283122.0,15.0,10.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,45.0,38.0,"['educational-num: 16.0', 'capital-gain: 18948.000']",0.295
56.0,1.0,157525.0,15.0,10.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,48.0,38.0,['capital-gain: 24778.000'],0.248
55.0,2.0,173422.0,15.0,10.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,"['educational-num: 11.0', 'capital-gain: 42446.000']",0.246
33.0,2.0,283268.0,9.0,13.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,40.0,38.0,['capital-gain: 16070.000'],0.161
28.0,2.0,278736.0,2.0,8.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,40.0,25.0,"['educational-num: 2.0', 'capital-gain: 19977.000']",0.3
49.0,5.0,247043.0,15.0,10.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 12566.000', 'hours-per-week: 43.000']",0.282
37.0,2.0,186191.0,11.0,9.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,46.0,38.0,['capital-gain: 12597.000'],0.126
