age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,DiCE CF,DiCE Gower
29.0,2.0,78261.0,11.0,9.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,['capital-gain: 39719.000'],0.397
22.0,2.0,136873.0,15.0,10.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 67218.000', 'hours-per-week: 20.000']",0.438
38.0,2.0,100295.0,5.0,4.0,2.0,6.0,5.0,0.0,1.0,0.0,0.0,50.0,1.0,['capital-gain: 34517.000'],0.345
31.0,2.0,121321.0,1.0,7.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,51.0,38.0,"['capital-gain: 37112.000', 'hours-per-week: 19.000']",0.283
46.0,4.0,115971.0,6.0,5.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,"['educational-num: 6.0', 'capital-gain: 42486.000']",0.246
42.0,2.0,112451.0,11.0,9.0,4.0,7.0,1.0,1.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 44029.000', 'hours-per-week: -20.000']",0.322
25.0,2.0,135568.0,11.0,9.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,['capital-gain: 7828.000'],0.078
38.0,2.0,99138.0,9.0,13.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,38.0,38.0,"['capital-gain: 25085.000', 'hours-per-week: 8.000']",0.166
52.0,4.0,77336.0,8.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,"['educational-num: 10.0', 'capital-gain: 45546.000']",0.261
42.0,2.0,138872.0,11.0,9.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,99.0,38.0,['capital-gain: 14938.000'],0.149
37.0,2.0,123833.0,15.0,10.0,4.0,11.0,1.0,0.0,0.0,0.0,0.0,60.0,38.0,"['capital-gain: 11959.000', 'hours-per-week: 25.000']",0.187
35.0,2.0,135289.0,8.0,11.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,50.0,38.0,"['educational-num: 4.0', 'capital-gain: 13017.000']",0.298
39.0,2.0,101782.0,11.0,9.0,0.0,11.0,1.0,0.0,1.0,0.0,0.0,40.0,38.0,['capital-gain: 15580.000'],0.156
21.0,5.0,82847.0,15.0,10.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,38.0,38.0,"['educational-num: 8.0', 'capital-gain: 68997.000']",0.412
43.0,2.0,147510.0,9.0,13.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,40.0,38.0,['capital-gain: 21746.000'],0.217
32.0,2.0,41210.0,11.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,"['educational-num: 10.0', 'capital-gain: 7313.000']",0.07
37.0,0.0,40955.0,15.0,10.0,4.0,7.0,3.0,0.0,0.0,0.0,0.0,40.0,23.0,"['educational-num: 13.0', 'capital-gain: 37390.000']",0.287
68.0,2.0,107910.0,11.0,9.0,4.0,11.0,1.0,0.0,1.0,0.0,0.0,40.0,38.0,['capital-gain: 13598.000'],0.136
22.0,2.0,100587.0,15.0,10.0,4.0,7.0,3.0,1.0,1.0,0.0,0.0,15.0,38.0,['capital-gain: 33486.000'],0.335
32.0,2.0,130057.0,11.0,9.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,55.0,38.0,"['capital-gain: 6652.000', 'hours-per-week: -9.000']",0.079
40.0,2.0,124520.0,8.0,11.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,50.0,38.0,['capital-gain: 23993.000'],0.24
39.0,0.0,135500.0,11.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,"['educational-num: 12.0', 'hours-per-week: 9.000']",0.146
18.0,2.0,126913.0,15.0,10.0,4.0,7.0,3.0,0.0,1.0,0.0,0.0,12.0,38.0,['capital-gain: 30392.000'],0.304
26.0,2.0,76996.0,15.0,10.0,4.0,6.0,1.0,1.0,1.0,0.0,0.0,38.0,38.0,['capital-gain: 21621.000'],0.216
29.0,2.0,148550.0,11.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,"['educational-num: 7.0', 'capital-gain: 31503.000']",0.224
43.0,2.0,84673.0,12.0,14.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,38.0,38.0,['capital-gain: 22111.000'],0.221
26.0,2.0,115717.0,15.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,2051.0,40.0,38.0,['educational-num: 14.0'],0.267
63.0,2.0,84737.0,5.0,4.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,40.0,34.0,"['capital-gain: 47143.000', 'hours-per-week: 45.000']",0.465
28.0,2.0,66473.0,11.0,9.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 13881.000', 'hours-per-week: -15.000']",0.146
27.0,5.0,41115.0,15.0,10.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,40.0,38.0,['capital-gain: 40616.000'],0.406
39.0,2.0,118429.0,15.0,10.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,40.0,38.0,['capital-gain: 29276.000'],0.293
26.0,2.0,109419.0,8.0,11.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,45.0,38.0,['capital-gain: 10345.000'],0.103
47.0,2.0,98524.0,4.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,['capital-gain: 28349.000'],0.283
57.0,3.0,51016.0,11.0,9.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,60.0,38.0,"['capital-gain: 43237.000', 'hours-per-week: -31.000']",0.374
30.0,2.0,128016.0,9.0,13.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,55.0,38.0,['capital-gain: 38459.000'],0.385
19.0,2.0,87402.0,15.0,10.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,40.0,38.0,['capital-gain: 10399.000'],0.104
58.0,4.0,81642.0,11.0,9.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,60.0,38.0,"['educational-num: 12.0', 'capital-gain: 92981.000']",0.565
40.0,2.0,38389.0,8.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 44055.000', 'hours-per-week: -24.000']",0.343
30.0,2.0,95639.0,1.0,7.0,4.0,5.0,2.0,1.0,0.0,0.0,0.0,40.0,38.0,['capital-gain: 18227.000'],0.182
71.0,2.0,137499.0,11.0,9.0,6.0,11.0,2.0,0.0,1.0,0.0,0.0,16.0,38.0,['capital-gain: 19303.000'],0.193
32.0,2.0,30433.0,9.0,13.0,4.0,12.0,2.0,0.0,1.0,0.0,0.0,72.0,38.0,"['capital-gain: 24557.000', 'hours-per-week: -1.000']",0.128
39.0,1.0,45607.0,11.0,9.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,56.0,38.0,"['capital-gain: 5505.000', 'hours-per-week: 29.000']",0.175
68.0,4.0,35468.0,12.0,14.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,24.0,38.0,"['capital-gain: 37727.000', 'hours-per-week: 13.000']",0.255
72.0,2.0,56559.0,11.0,9.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,12.0,38.0,['capital-gain: 46491.000'],0.465
23.0,2.0,111450.0,2.0,8.0,4.0,7.0,4.0,1.0,0.0,0.0,0.0,38.0,38.0,"['educational-num: 13.0', 'capital-gain: 75613.000']",0.545
39.0,2.0,30875.0,9.0,13.0,0.0,11.0,4.0,0.0,1.0,0.0,0.0,40.0,38.0,"['capital-gain: 36696.000', 'hours-per-week: -3.000']",0.199
28.0,2.0,145284.0,15.0,10.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,40.0,38.0,"['educational-num: 2.0', 'capital-gain: 16932.000']",0.351
27.0,2.0,106935.0,15.0,10.0,5.0,11.0,1.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 24387.000', 'hours-per-week: -1.000']",0.127
49.0,2.0,24712.0,9.0,13.0,4.0,7.0,1.0,1.0,1.0,0.0,0.0,35.0,29.0,"['educational-num: 14.0', 'capital-gain: 27898.000']",0.173
28.0,3.0,109001.0,9.0,13.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,60.0,38.0,['capital-gain: 32030.000'],0.32
39.0,2.0,135162.0,2.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,45.0,38.0,"['capital-gain: 6388.000', 'hours-per-week: 29.000']",0.18
18.0,2.0,110230.0,1.0,7.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,5.0,38.0,"['educational-num: 11.0', 'capital-gain: 30517.000']",0.286
36.0,1.0,126569.0,15.0,10.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 17216.000', 'hours-per-week: 2.000']",0.096
27.0,2.0,37754.0,15.0,10.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,80.0,38.0,"['capital-gain: 20380.000', 'hours-per-week: -2.000']",0.112
43.0,2.0,55764.0,15.0,10.0,4.0,5.0,4.0,1.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 63360.000', 'hours-per-week: -36.000']",0.5
23.0,2.0,38707.0,15.0,10.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,60.0,38.0,"['educational-num: 14.0', 'capital-gain: 94509.000']",0.606
